symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,Power_to_Weight_Ratio,Engine_Efficiency,Cylinder_Number,Total_Displacement,Length_to_Width_Ratio,Length_to_Height_Ratio,Width_to_Height_Ratio
1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,18399,0.050971647,0.883977901,6,181.2913673,2.628865979,3.591549296,1.366197183
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,0.032119205,0.808333333,4,119.9755511,2.729532164,3.292768959,1.206349206
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,13200,0.029715358,0.625,4,151.3895801,2.729532164,3.292768959,1.206349206
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,0.030894309,0.791666667,4,82.36566044,2.729532164,3.292768959,1.206349206
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,16900,0.029212792,0.625,4,151.3895801,2.729532164,3.292768959,1.206349206
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,0.031544715,0.808333333,4,119.9755511,2.729532164,3.292768959,1.206349206
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,17950,0.029212792,0.625,4,151.3895801,2.729532164,3.292768959,1.206349206
0,161,peugot,gas,turbo,four,sedan,rwd,front,108,186.7,68.3,56,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,18150,0.045367412,1.059701493,4,131.4223743,2.733528551,3.333928571,1.219642857
1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,0.035453597,0.755555556,4,89.50870908,2.465517241,3.096456693,1.255905512
1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,0.047932331,1.040816327,4,97.7765767,2.465517241,3.096456693,1.255905512
1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,0.034570412,0.755555556,4,89.50870908,2.465517241,3.108695652,1.260869565
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,0.034188034,0.755555556,4,89.50870908,2.622257053,3.293307087,1.255905512
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,0.031036057,0.693877551,4,89.50870908,2.622257053,3.293307087,1.255905512
-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,0.034714004,0.721311475,4,121.9875715,2.702786378,2.919732441,1.080267559
3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,0.051475882,0.947019868,4,151.6710542,2.472913616,3.364541833,1.360557769
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850,0.0413845,0.909090909,4,120.8633903,2.806015038,3.326203209,1.185383244
2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170,0.040816327,0.909090909,4,120.8633903,2.806015038,3.326203209,1.185383244
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040,0.04063539,0.909090909,4,41.95537927,2.806015038,3.326203209,1.185383244
2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510,0.039883974,0.909090909,4,120.8633903,2.806015038,3.326203209,1.185383244
3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18150,0.056980057,1.32231405,4,120.8633903,2.806015038,3.326203209,1.185383244
2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18620,0.056199508,1.32231405,4,120.8633903,2.806015038,3.326203209,1.185383244
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36,5118,0.033658537,0.711340206,4,97.15810078,2.474763407,2.921787709,1.180633147
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053,0.034433962,0.675925926,4,108.6853331,2.482704403,2.940409683,1.184357542
2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603,0.032589286,0.675925926,4,108.6853331,2.465517241,2.824057451,1.145421903
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126,0.038228438,0.759259259,4,108.6853331,2.629969419,3.276190476,1.245714286
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775,0.037442922,0.759259259,4,108.6853331,2.629969419,3.276190476,1.245714286
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32,9960,0.04017094,0.87037037,4,108.6853331,2.629969419,3.276190476,1.245714286
0,102,subaru,gas,std,four,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,24,25,9233,0.034381551,0.759259259,4,108.6853331,2.629969419,3.167587477,1.20441989
0,102,subaru,gas,turbo,four,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259,0.044223108,1.027777778,4,108.6853331,2.629969419,3.167587477,1.20441989
0,89,subaru,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32,7463,0.03580786,0.759259259,4,108.6853331,2.652905199,3.273584906,1.233962264
0,89,subaru,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31,10198,0.038289206,0.87037037,4,108.6853331,2.652905199,3.273584906,1.233962264
0,85,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,23,29,8013,0.033884298,0.759259259,4,108.6853331,2.654434251,3.162112933,1.191256831
0,85,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694,0.041886792,1.027777778,4,108.6853331,2.654434251,3.162112933,1.191256831
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9,62,4800,35,39,5348,0.031234257,0.673913043,4,88.55073695,2.495283019,2.911926606,1.166972477
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6338,0.030392157,0.673913043,4,88.55073695,2.495283019,2.911926606,1.166972477
1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6488,0.030769231,0.673913043,4,88.55073695,2.495283019,2.911926606,1.166972477
0,77,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,6918,0.027192982,0.673913043,4,88.55073695,2.668238994,2.871404399,1.076142132
0,81,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,7898,0.027074236,0.673913043,4,88.55073695,2.668238994,2.871404399,1.076142132
